"Dataset_ID","slice","Longitude","Latitude","MAAT_WAPLS","biome"
234,"5000",-119.008333,37.595833,5.25,3
234,"6000",-119.008333,37.595833,4.75,3
234,"7000",-119.008333,37.595833,5.3,3
234,"8000",-119.008333,37.595833,5.15,3
234,"9000",-119.008333,37.595833,4.5,3
234,"10000",-119.008333,37.595833,5.1,3
236,"1000",-79.78,47.23,2.56666666666667,3
236,"2000",-79.78,47.23,2.53333333333333,3
236,"3000",-79.78,47.23,1.73333333333333,3
236,"4000",-79.78,47.23,2.63333333333333,3
236,"5000",-79.78,47.23,3.35,3
236,"6000",-79.78,47.23,3.86666666666667,3
236,"7000",-79.78,47.23,5.66666666666667,3
236,"8000",-79.78,47.23,4.36666666666667,3
236,"9000",-79.78,47.23,3.475,3
236,"10000",-79.78,47.23,2.86666666666667,3
238,"0",-78.916667,46.4,3.5,3
238,"1000",-78.916667,46.4,3.48333333333333,3
238,"2000",-78.916667,46.4,4.33333333333333,3
238,"3000",-78.916667,46.4,4.43333333333333,3
238,"4000",-78.916667,46.4,4.28,3
238,"5000",-78.916667,46.4,4.42,3
238,"6000",-78.916667,46.4,4.7,3
238,"7000",-78.916667,46.4,5.3875,3
238,"8000",-78.916667,46.4,5.325,3
238,"9000",-78.916667,46.4,3.87,3
238,"10000",-78.916667,46.4,3.4,3
239,"0",-122.491667,45.8,6.56666666666667,3
239,"1000",-122.491667,45.8,6.25,3
239,"2000",-122.491667,45.8,4.1,3
239,"3000",-122.491667,45.8,5.9,3
239,"4000",-122.491667,45.8,4.85,3
239,"5000",-122.491667,45.8,5.1,3
239,"6000",-122.491667,45.8,6.1,3
239,"7000",-122.491667,45.8,4.85,3
239,"8000",-122.491667,45.8,4.625,3
239,"9000",-122.491667,45.8,3.85,3
239,"10000",-122.491667,45.8,5.3,3
245,"5000",-80.16,47.18,3.36,3
245,"6000",-80.16,47.18,4.1,3
245,"7000",-80.16,47.18,4.75,3
245,"8000",-80.16,47.18,3.83333333333333,3
245,"9000",-80.16,47.18,2.55,3
245,"10000",-80.16,47.18,1.025,3
250,"0",-108.160375,37.473105,4.1,3
